"Term_ID","Term_Description","clusterProfiler_pvalue","clusterProfiler_sig_count","gProfiler2_pvalue","gProfiler2_sig_count","topGO_pvalue","topGO_sig_count","methods_included","methods_significant","mean_p_value"
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",2.31717609661864e-08,7,0.000584698344572861,5,NA,NA,2,2,0.000292360758166914
"GO:0021761","limbic system development",0.00179985960956822,3,NA,NA,0.00195,70,2,2,0.00187492980478411
"GO:0051146","striated muscle cell differentiation",0.000678059557552175,5,NA,NA,0.01582,177,2,2,0.00824902977877609
"GO:1990034","calcium ion export across plasma membrane",0.000162090471928707,2,NA,NA,0.02213,8,2,2,0.0111460452359644
"GO:0021696","cerebellar cortex morphogenesis",8.61775681719866e-05,3,0.0358673732732676,3,NA,NA,2,2,0.0179767754207198
"GO:0000395","mRNA 5'-splice site recognition",NA,NA,NA,NA,1.7e-29,144,1,1,1.7e-29
"GO:0032774","RNA biosynthetic process",NA,NA,NA,NA,1.5e-26,2597,1,1,1.5e-26
"GO:0010467","gene expression",NA,NA,NA,NA,1.1e-25,3659,1,1,1.1e-25
"GO:0141187","nucleic acid biosynthetic process",NA,NA,NA,NA,6.7e-25,2627,1,1,6.7e-25
"GO:0034654","nucleobase-containing compound biosynthe...",NA,NA,NA,NA,6.3e-24,2741,1,1,6.3e-24
"GO:0045292","mRNA cis splicing, via spliceosome",NA,NA,NA,NA,7.4e-24,151,1,1,7.4e-24
"GO:0016070","RNA metabolic process",NA,NA,NA,NA,2.2e-23,2663,1,1,2.2e-23
"GO:0006376","mRNA splice site recognition",NA,NA,NA,NA,1.9e-22,146,1,1,1.9e-22
"GO:0000245","spliceosomal complex assembly",NA,NA,NA,NA,2.3e-21,179,1,1,2.3e-21
"GO:0065003","protein-containing complex assembly",NA,NA,NA,NA,1.1e-20,1104,1,1,1.1e-20
"GO:0009059","macromolecule biosynthetic process",NA,NA,NA,NA,6.4e-20,3775,1,1,6.4e-20
"GO:0090304","nucleic acid metabolic process",NA,NA,NA,NA,9.8e-17,2831,1,1,9.8e-17
"GO:1901740","negative regulation of myoblast fusion",NA,NA,NA,NA,1.2e-16,47,1,1,1.2e-16
"GO:0043933","protein-containing complex organization",NA,NA,NA,NA,1.3e-16,1165,1,1,1.3e-16
"GO:0140241","translation at synapse",NA,NA,NA,NA,7e-16,45,1,1,7e-16
"GO:0140242","translation at postsynapse",NA,NA,NA,NA,7e-16,45,1,1,7e-16
"GO:0140236","translation at presynapse",NA,NA,NA,NA,1.7e-15,44,1,1,1.7e-15
"GO:0034242","negative regulation of syncytium formati...",NA,NA,NA,NA,2.5e-15,48,1,1,2.5e-15
"GO:1990830","cellular response to leukemia inhibitory...",NA,NA,NA,NA,7.2e-14,174,1,1,7.2e-14
"GO:0010608","post-transcriptional regulation of gene ...",NA,NA,NA,NA,1.1e-13,448,1,1,1.1e-13
"GO:1990823","response to leukemia inhibitory factor",NA,NA,NA,NA,1.7e-13,174,1,1,1.7e-13
"GO:0060291","long-term synaptic potentiation",NA,NA,NA,NA,4.1e-13,150,1,1,4.1e-13
"GO:0006139","nucleobase-containing compound metabolic...",NA,NA,NA,NA,5.9e-13,3029,1,1,5.9e-13
"GO:0009058","biosynthetic process",NA,NA,NA,NA,2e-12,4099,1,1,2e-12
"GO:1901739","regulation of myoblast fusion",NA,NA,NA,NA,4.9e-12,54,1,1,4.9e-12
"GO:0015986","proton motive force-driven ATP synthesis",NA,NA,NA,NA,6.9e-12,55,1,1,6.9e-12
"GO:0060142","regulation of syncytium formation by pla...",NA,NA,NA,NA,2.6e-11,60,1,1,2.6e-11
"GO:0048167","regulation of synaptic plasticity",NA,NA,NA,NA,3e-11,216,1,1,3e-11
"GO:0042776","proton motive force-driven mitochondrial...",NA,NA,NA,NA,1.2e-10,51,1,1,1.2e-10
"GO:0050806","positive regulation of synaptic transmis...",NA,NA,NA,NA,1.4e-10,185,1,1,1.4e-10
"GO:0006119","oxidative phosphorylation",NA,NA,NA,NA,1.5e-08,89,1,1,1.5e-08
"GO:0006754","ATP biosynthetic process",NA,NA,NA,NA,1.7e-07,66,1,1,1.7e-07
"GO:0071229","cellular response to acid chemical",NA,NA,NA,NA,2.7e-07,112,1,1,2.7e-07
"GO:0043170","macromolecule metabolic process",NA,NA,NA,NA,2.9e-07,4468,1,1,2.9e-07
"GO:0071230","cellular response to amino acid stimulus",NA,NA,NA,NA,3.2e-07,108,1,1,3.2e-07
"GO:0099537","trans-synaptic signaling",NA,NA,NA,NA,3.3e-07,449,1,1,3.3e-07
"GO:0002250","adaptive immune response",NA,NA,NA,NA,4.1e-07,356,1,1,4.1e-07
"GO:0000768","syncytium formation by plasma membrane f...",NA,NA,NA,NA,4.7e-07,72,1,1,4.7e-07
"GO:0140253","cell-cell fusion",NA,NA,NA,NA,4.7e-07,72,1,1,4.7e-07
"GO:0007520","myoblast fusion",NA,NA,NA,NA,4.8e-07,62,1,1,4.8e-07
"GO:0009206","purine ribonucleoside triphosphate biosy...",NA,NA,NA,NA,4.8e-07,70,1,1,4.8e-07
"GO:0007268","chemical synaptic transmission",NA,NA,NA,NA,5.7e-07,444,1,1,5.7e-07
"GO:0098916","anterograde trans-synaptic signaling",NA,NA,NA,NA,5.7e-07,444,1,1,5.7e-07
"GO:0099536","synaptic signaling",NA,NA,NA,NA,6.2e-07,468,1,1,6.2e-07
"GO:0022904","respiratory electron transport chain",NA,NA,NA,NA,7.4e-07,72,1,1,7.4e-07
"GO:0009145","purine nucleoside triphosphate biosynthe...",NA,NA,NA,NA,7.6e-07,70,1,1,7.6e-07
"GO:0002181","cytoplasmic translation",NA,NA,NA,NA,7.7e-07,129,1,1,7.7e-07
"GO:0050804","modulation of chemical synaptic transmis...",NA,NA,NA,NA,8.1e-07,361,1,1,8.1e-07
"GO:0071234","cellular response to phenylalanine",NA,NA,NA,NA,9.1e-07,21,1,1,9.1e-07
"GO:0080053","response to phenylalanine",NA,NA,NA,NA,9.1e-07,21,1,1,9.1e-07
"GO:0099177","regulation of trans-synaptic signaling",NA,NA,NA,NA,9.4e-07,361,1,1,9.4e-07
"GO:0006949","syncytium formation",NA,NA,NA,NA,1.2e-06,72,1,1,1.2e-06
"GO:0001101","response to acid chemical",NA,NA,NA,NA,1.4e-06,134,1,1,1.4e-06
"GO:0009201","ribonucleoside triphosphate biosynthetic...",NA,NA,NA,NA,1.8e-06,71,1,1,1.8e-06
"GO:0048699","generation of neurons",NA,NA,1.87191484439987e-06,14,NA,NA,1,1,1.87191484439987e-06
"GO:0043200","response to amino acid",NA,NA,NA,NA,3.1e-06,125,1,1,3.1e-06
"GO:0022900","electron transport chain",NA,NA,NA,NA,3.9e-06,74,1,1,3.9e-06
"GO:0009142","nucleoside triphosphate biosynthetic pro...",NA,NA,NA,NA,6e-06,73,1,1,6e-06
"GO:0042308","negative regulation of protein import into nucleus",7.44315412620812e-06,3,NA,NA,NA,NA,1,1,7.44315412620812e-06
"GO:0019646","aerobic electron transport chain",NA,NA,NA,NA,8.9e-06,43,1,1,8.9e-06
"GO:0048666","neuron development",NA,NA,9.42112515825307e-06,12,NA,NA,1,1,9.42112515825307e-06
"GO:0030182","neuron differentiation",NA,NA,9.82854389296335e-06,13,NA,NA,1,1,9.82854389296335e-06
"GO:0022008","neurogenesis",NA,NA,1.4197930323797e-05,14,NA,NA,1,1,1.4197930323797e-05
"GO:0019731","antibacterial humoral response",NA,NA,NA,NA,2.1e-05,60,1,1,2.1e-05
"GO:0007605","sensory perception of sound",NA,NA,NA,NA,2.1e-05,140,1,1,2.1e-05
"GO:0031175","neuron projection development",NA,NA,2.21395036168256e-05,11,NA,NA,1,1,2.21395036168256e-05
"GO:0042773","ATP synthesis coupled electron transport",NA,NA,NA,NA,2.7e-05,47,1,1,2.7e-05
"GO:0042775","mitochondrial ATP synthesis coupled elec...",NA,NA,NA,NA,2.7e-05,46,1,1,2.7e-05
"GO:0046823","negative regulation of nucleocytoplasmic transport",3.11382418758642e-05,3,NA,NA,NA,NA,1,1,3.11382418758642e-05
"GO:0090317","negative regulation of intracellular protein transport",5.41550096063588e-05,3,NA,NA,NA,NA,1,1,5.41550096063588e-05
"GO:0006941","striated muscle contraction",NA,NA,NA,NA,6.6e-05,121,1,1,6.6e-05
"GO:0051128","regulation of cellular component organization",NA,NA,6.79460365545437e-05,15,NA,NA,1,1,6.79460365545437e-05
"GO:0014902","myotube differentiation",NA,NA,NA,NA,7.2e-05,99,1,1,7.2e-05
"GO:0022607","cellular component assembly",NA,NA,NA,NA,9.8e-05,1664,1,1,9.8e-05
"GO:0007399","nervous system development",NA,NA,9.85498824014485e-05,15,NA,NA,1,1,9.85498824014485e-05
"GO:0099633","protein localization to postsynaptic specialization membrane",0.000115318671087458,3,NA,NA,NA,NA,1,1,0.000115318671087458
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",0.000115318671087458,3,NA,NA,NA,NA,1,1,0.000115318671087458
"GO:0006123","mitochondrial electron transport, cytoch...",NA,NA,NA,NA,0.00012,15,1,1,0.00012
"GO:0051224","negative regulation of protein transport",0.000131542413510532,4,NA,NA,NA,NA,1,1,0.000131542413510532
"GO:1900181","negative regulation of protein localization to nucleus",0.00013554175176675,3,NA,NA,NA,NA,1,1,0.00013554175176675
"GO:0021587","cerebellum morphogenesis",0.000150227609200003,3,NA,NA,NA,NA,1,1,0.000150227609200003
"GO:1904950","negative regulation of establishment of protein localization",0.000164832022319654,4,NA,NA,NA,NA,1,1,0.000164832022319654
"GO:0050954","sensory perception of mechanical stimulu...",NA,NA,NA,NA,0.00017,154,1,1,0.00017
"GO:0021575","hindbrain morphogenesis",0.000182621549699123,3,NA,NA,NA,NA,1,1,0.000182621549699123
"GO:0032387","negative regulation of intracellular transport",0.000200387908510241,3,NA,NA,NA,NA,1,1,0.000200387908510241
"GO:0008150","biological_process",NA,NA,0.000222077178523878,45,NA,NA,1,1,0.000222077178523878
"GO:0000902","cell morphogenesis",NA,NA,0.000246476256960823,10,NA,NA,1,1,0.000246476256960823
"GO:0021695","cerebellar cortex development",0.000260307560000127,3,NA,NA,NA,NA,1,1,0.000260307560000127
"GO:0007289","spermatid nucleus differentiation",NA,NA,NA,NA,0.00034,36,1,1,0.00034
"GO:1903539","protein localization to postsynaptic membrane",0.000356686552759387,3,NA,NA,NA,NA,1,1,0.000356686552759387
"GO:0062237","protein localization to postsynapse",0.000370135075662524,3,NA,NA,NA,NA,1,1,0.000370135075662524
"GO:0006606","protein import into nucleus",0.000374903032482745,4,NA,NA,NA,NA,1,1,0.000374903032482745
"GO:0051170","import into nucleus",0.000412366431786753,4,NA,NA,NA,NA,1,1,0.000412366431786753
"GO:0030007","intracellular potassium ion homeostasis",0.000447425838779765,2,NA,NA,NA,NA,1,1,0.000447425838779765
"GO:0042306","regulation of protein import into nucleus",0.000473484356903231,3,NA,NA,NA,NA,1,1,0.000473484356903231
"GO:0140115","export across plasma membrane",0.000473484356903231,3,NA,NA,NA,NA,1,1,0.000473484356903231
"GO:0055002","striated muscle cell development",0.000486434696060132,4,NA,NA,NA,NA,1,1,0.000486434696060132
"GO:0009060","aerobic respiration",NA,NA,NA,NA,0.00061,150,1,1,0.00061
"GO:0036376","sodium ion export across plasma membrane",0.000735780056934871,2,NA,NA,NA,NA,1,1,0.000735780056934871
"GO:0097120","receptor localization to synapse",0.000889101794223892,3,NA,NA,NA,NA,1,1,0.000889101794223892
"GO:0055001","muscle cell development",0.000892529716492725,4,NA,NA,NA,NA,1,1,0.000892529716492725
"GO:0097154","GABAergic neuron differentiation",NA,NA,NA,NA,0.00095,15,1,1,0.00095
"GO:0000348","mRNA branch site recognition",NA,NA,NA,NA,0.00098,26,1,1,0.00098
"GO:0035092","sperm DNA condensation",NA,NA,NA,NA,0.00098,27,1,1,0.00098
"GO:0010894","negative regulation of steroid biosynthetic process",0.00101628105478927,2,NA,NA,NA,NA,1,1,0.00101628105478927
"GO:0035418","protein localization to synapse",0.00109319993721795,3,NA,NA,NA,NA,1,1,0.00109319993721795
"GO:0006883","intracellular sodium ion homeostasis",0.00109324738800561,2,NA,NA,NA,NA,1,1,0.00109324738800561
"GO:1905962","glutamatergic neuron differentiation",0.00109324738800561,2,NA,NA,NA,NA,1,1,0.00109324738800561
"GO:1903828","negative regulation of protein localization",0.00109479482442829,4,NA,NA,NA,NA,1,1,0.00109479482442829
"GO:0071345","cellular response to cytokine stimulus",NA,NA,NA,NA,0.00115,483,1,1,0.00115
"GO:0045939","negative regulation of steroid metabolic process",0.00117293155325813,2,NA,NA,NA,NA,1,1,0.00117293155325813
"GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane",0.00117293155325813,2,NA,NA,NA,NA,1,1,0.00117293155325813
"GO:0007267","cell-cell signaling",NA,NA,NA,NA,0.00125,624,1,1,0.00125
"GO:0014829","vascular associated smooth muscle contraction",0.00125532428966392,2,NA,NA,NA,NA,1,1,0.00125532428966392
"GO:0031503","protein-containing complex localization",0.00132473218761928,3,NA,NA,NA,NA,1,1,0.00132473218761928
"GO:0002026","regulation of the force of heart contraction",0.00134041635903428,2,NA,NA,NA,NA,1,1,0.00134041635903428
"GO:0022010","central nervous system myelination",0.00134041635903428,2,NA,NA,NA,NA,1,1,0.00134041635903428
"GO:0032291","axon ensheathment in central nervous system",0.00134041635903428,2,NA,NA,NA,NA,1,1,0.00134041635903428
"GO:0055075","potassium ion homeostasis",0.00134041635903428,2,NA,NA,NA,NA,1,1,0.00134041635903428
"GO:0090257","regulation of muscle system process",0.00139966484022079,4,NA,NA,NA,NA,1,1,0.00139966484022079
"GO:0030900","forebrain development",0.00144356731899926,5,NA,NA,NA,NA,1,1,0.00144356731899926
"GO:0090128","regulation of synapse maturation",0.00151866165709751,2,NA,NA,NA,NA,1,1,0.00151866165709751
"GO:0048468","cell development",NA,NA,0.00154098037283767,15,NA,NA,1,1,0.00154098037283767
"GO:0019730","antimicrobial humoral response",NA,NA,NA,NA,0.00156,88,1,1,0.00156
"GO:0014706","striated muscle tissue development",0.00156627398482479,5,NA,NA,NA,NA,1,1,0.00156627398482479
"GO:0021549","cerebellum development",0.00158501840450346,3,NA,NA,NA,NA,1,1,0.00158501840450346
"GO:0098659","inorganic cation import across plasma membrane",0.00158501840450346,3,NA,NA,NA,NA,1,1,0.00158501840450346
"GO:0099587","inorganic ion import across plasma membrane",0.00158501840450346,3,NA,NA,NA,NA,1,1,0.00158501840450346
"GO:0021697","cerebellar cortex formation",0.00161179652245309,2,NA,NA,NA,NA,1,1,0.00161179652245309
"GO:0061844","antimicrobial humoral immune response me...",NA,NA,NA,NA,0.00163,69,1,1,0.00163
"GO:0002323","natural killer cell activation involved ...",NA,NA,NA,NA,0.00164,23,1,1,0.00164
"GO:0006959","humoral immune response",NA,NA,NA,NA,0.00164,136,1,1,0.00164
"GO:0120036","plasma membrane bounded cell projection organization",NA,NA,0.00169276458225027,11,NA,NA,1,1,0.00169276458225027
"GO:0044085","cellular component biogenesis",NA,NA,NA,NA,0.00186,1745,1,1,0.00186
"GO:0097009","energy homeostasis",NA,NA,NA,NA,0.00188,78,1,1,0.00188
"GO:1902473","regulation of protein localization to synapse",0.00190714027635551,2,NA,NA,NA,NA,1,1,0.00190714027635551
"GO:0060297","regulation of sarcomere organization",NA,NA,NA,NA,0.00191,10,1,1,0.00191
"GO:0032386","regulation of intracellular transport",0.00198500991030196,4,NA,NA,NA,NA,1,1,0.00198500991030196
"GO:0022037","metencephalon development",0.0021134439205293,3,NA,NA,NA,NA,1,1,0.0021134439205293
"GO:0140058","neuron projection arborization",0.00211722776928612,2,NA,NA,NA,NA,1,1,0.00211722776928612
"GO:0021782","glial cell development",0.00215487264296978,3,NA,NA,NA,NA,1,1,0.00215487264296978
"GO:0046822","regulation of nucleocytoplasmic transport",0.00219680437431131,3,NA,NA,NA,NA,1,1,0.00219680437431131
"GO:0030030","cell projection organization",NA,NA,0.00228835041935901,11,NA,NA,1,1,0.00228835041935901
"GO:0009152","purine ribonucleotide biosynthetic proce...",NA,NA,NA,NA,0.00233,85,1,1,0.00233
"GO:1902414","protein localization to cell junction",0.00241408287498266,3,NA,NA,NA,NA,1,1,0.00241408287498266
"GO:0048741","skeletal muscle fiber development",0.00245196554920591,2,NA,NA,NA,NA,1,1,0.00245196554920591
"GO:0051673","disruption of plasma membrane integrity ...",NA,NA,NA,NA,0.00251,17,1,1,0.00251
"GO:0140975","disruption of cellular anatomical struct...",NA,NA,NA,NA,0.00251,17,1,1,0.00251
"GO:0021537","telencephalon development",0.00255025908447627,4,NA,NA,NA,NA,1,1,0.00255025908447627
"GO:0055078","sodium ion homeostasis",0.00268809019271515,2,NA,NA,NA,NA,1,1,0.00268809019271515
"GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization",0.00268809019271515,2,NA,NA,NA,NA,1,1,0.00268809019271515
"GO:1902683","regulation of receptor localization to synapse",0.00268809019271515,2,NA,NA,NA,NA,1,1,0.00268809019271515
"GO:0071391","cellular response to estrogen stimulus",NA,NA,NA,NA,0.0027,25,1,1,0.0027
"GO:0009617","response to bacterium",NA,NA,NA,NA,0.00382,413,1,1,0.00382
"GO:0001580","detection of chemical stimulus involved ...",NA,NA,NA,NA,0.00383,28,1,1,0.00383
"GO:1902600","proton transmembrane transport",NA,NA,NA,NA,0.00443,78,1,1,0.00443
"GO:0021953","central nervous system neuron differenti...",NA,NA,NA,NA,0.00451,124,1,1,0.00451
"GO:0048670","regulation of collateral sprouting",NA,NA,NA,NA,0.00455,16,1,1,0.00455
"GO:0002227","innate immune response in mucosa",NA,NA,NA,NA,0.00461,22,1,1,0.00461
"GO:0034097","response to cytokine",NA,NA,NA,NA,0.00513,524,1,1,0.00513
"GO:0007275","multicellular organism development",NA,NA,0.00522631146347367,18,NA,NA,1,1,0.00522631146347367
"GO:0048667","cell morphogenesis involved in neuron differentiation",NA,NA,0.00638727549016468,7,NA,NA,1,1,0.00638727549016468
"GO:0061734","type 2 mitophagy",NA,NA,NA,NA,0.00708,12,1,1,0.00708
"GO:0021766","hippocampus development",NA,NA,NA,NA,0.0073,53,1,1,0.0073
"GO:0050912","detection of chemical stimulus involved ...",NA,NA,NA,NA,0.00743,30,1,1,0.00743
"GO:1901652","response to peptide",NA,NA,NA,NA,0.00761,530,1,1,0.00761
"GO:0009205","purine ribonucleoside triphosphate metab...",NA,NA,NA,NA,0.00791,127,1,1,0.00791
"GO:0006120","mitochondrial electron transport, NADH t...",NA,NA,NA,NA,0.00793,19,1,1,0.00793
"GO:0021854","hypothalamus development",NA,NA,NA,NA,0.00807,18,1,1,0.00807
"GO:0097623","potassium ion export across plasma membr...",NA,NA,NA,NA,0.00818,16,1,1,0.00818
"GO:0048856","anatomical structure development",NA,NA,0.00824669716681039,20,NA,NA,1,1,0.00824669716681039
"GO:0071840","cellular component organization or biogenesis",NA,NA,0.00859595010924047,22,NA,NA,1,1,0.00859595010924047
